2.01404E+16,5,A,2489844,1,78.65,8000
2.01404E+16,5,A,2489860,0,78.55,400
2.01404E+16,5,D,1214500,1,,
2.01404E+16,5,D,1759812,0,,
2.01404E+16,5,D,1214484,1,,
2.01404E+16,5,A,2490996,0,78.55,4400
2.01404E+16,5,A,2491012,0,78.55,7200
2.01404E+16,5,A,2492212,0,78,8000
2.01404E+16,5,A,2494004,0,78.65,9600
2.01404E+16,5,M,2494004,0,,1600
2.01404E+16,5,D,2489844,1,,
2.01404E+16,5,D,2322708,1,,
2.01404E+16,5,A,2494036,1,78.7,10800
