time,bid,bid_size,ask,ask_size,bid2,bid2_size,ask2,ask2_size,bid3,bid3_size,ask3,ask3_size,last,last_size
50:21.8,152,69600,152.1,81100,151.9,54000,152.2,33600,151.8,80900,152.3,34200,152,200
50:22.1,152,69600,152.1,81100,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:23.8,152,69600,152.1,81100,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:23.8,152,69600,152.1,77800,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:24.5,152,69600,152.1,77800,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:24.6,152,71600,152.1,77800,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:25.3,152,71600,152.1,77800,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:25.3,152,71600,152.1,78400,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152,200
50:25.8,152,71600,152.1,78400,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152.1,400
50:26.0,152,71600,152.1,78400,151.9,54000,152.2,33700,151.8,80900,152.3,34200,152.1,400
50:26.1,152,71600,152.1,78000,151.9,54000,152.2,33700,151.8,80800,152.3,34200,152.1,400
50:27.3,152,71600,152.1,78000,151.9,54000,152.2,33700,151.8,80800,152.3,34200,152.1,400
50:27.3,152,78100,152.1,78000,151.9,54000,152.2,33700,151.8,80800,152.3,34200,152.1,400
50:27.5,152,78100,152.1,78000,151.9,54000,152.2,33700,151.8,80800,152.3,34200,152,1600
50:28.0,152,78100,152.1,78000,151.9,54000,152.2,33700,151.8,80800,152.3,34200,152,1600
50:28.1,152,77600,152.1,77900,151.9,54000,152.2,33700,151.8,80800,152.3,34100,152,1600
50:28.8,152,77600,152.1,77900,151.9,54000,152.2,33700,151.8,80800,152.3,34100,152,300
50:28.8,152,74300,152.1,77900,151.9,54000,152.2,33700,151.8,80800,152.3,34100,152,300
50:29.5,152,74300,152.1,77900,151.9,54000,152.2,33700,151.8,80800,152.3,34100,152,300
50:29.6,152,74000,152.1,78500,151.9,54000,152.2,33100,151.8,80800,152.3,34100,152,300
50:31.8,152,74000,152.1,78500,151.9,54000,152.2,33100,151.8,80800,152.3,34100,152,300
50:31.8,152,74000,152.1,81800,151.9,54000,152.2,33100,151.8,80800,152.3,34100,152,300
50:32.5,152,74000,152.1,81800,151.9,54000,152.2,33100,151.8,80800,152.3,34100,152,300
50:32.6,152,73700,152.1,81800,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,300
50:33.3,152,73700,152.1,81800,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:33.4,152,73600,152.1,81700,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:34.3,152,73600,152.1,81700,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:34.3,152,73600,152.1,81700,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:34.3,152,64800,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:35.0,152,64800,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:35.1,152,70200,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:35.8,152,70200,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:35.8,152,70400,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:36.9,152,70400,152.1,78400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:37.0,152,70400,152.1,78900,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152,100
50:37.7,152,70400,152.1,78900,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152.1,400
50:37.8,152,70400,152.1,78500,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152.1,400
50:38.4,152,70400,152.1,78500,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152.1,400
50:38.5,152,70400,152.1,95400,151.9,54000,152.2,33000,151.8,80800,152.3,34100,152.1,400
