code,language,region,quoteType,triggerable,currency,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,priceHint,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,firstTradeDateMilliseconds,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,price,dividendDate
0011.HK,en-US,US,EQUITY,False,HKD,1911840000.0,93.528,134.88,-3.180008,-0.02357657,152.59085,-20.890854,-0.13690764,251789328384.0,10.378251,1.4081345,15,0,False,3,HKG,HANG SENG BANK,Hang Seng Bank Limited,finmb_874380,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.30000305,0.22831284,1589789320,131.7,132.4,131.2 - 132.4,131.2,946949400000.0,1167713.0,131.4,131.5,131.7,0.0,0.0,HKSE,HKD,132.0,3220441.0,1753593.0,7.2999954,0.058681633,124.4 - 204.0,-72.3,-0.35441178,124.4,204.0,1582168500.0,1596466740.0,1596816000.0,8.2,10.313233,0.06240487,PREPRE,12.77,12.69,131.7,
0012.HK,en-US,US,EQUITY,False,HKD,4841390080.0,66.278,31.035715,-1.3857155,-0.04464906,35.342606,-5.692606,-0.16106921,143535652864.0,9.442675,0.4473581,15,0,False,3,HKG,HENDERSON LAND,Henderson Land Development Company Limited,finmb_875422,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.20000076,-0.67001927,1589789320,29.65,30.0,29.5 - 30.0,29.5,946949400000.0,3557330.0,29.85,29.65,29.7,0.0,0.0,HKSE,HKD,29.5,6030608.0,4156337.0,2.6999989,0.10018548,26.95 - 45.0,-15.35,-0.34111112,26.95,45.0,1584975540.0,1584975540.0,1584975540.0,1.8,8.447293,0.060301505,PREPRE,3.51,3.14,29.65,
0014.HK,en-US,US,EQUITY,False,HKD,1041900032.0,74.245,25.227142,-1.7771416,-0.07044561,28.175352,-4.7253513,-0.16771224,24432556032.0,8.984675,0.31584617,15,0,False,3,HKG,HYSAN DEV,Hysan Development Company Limited,finmb_410418,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.35000038,1.5151532,1589789320,23.45,23.45,22.95 - 23.45,22.95,946949400000.0,1311000.0,23.1,23.35,23.45,0.0,0.0,HKSE,HKD,23.0,1808818.0,1359259.0,2.2000008,0.103529446,21.25 - 42.9,-19.45,-0.45337996,21.25,42.9,1582214340.0,1597157940.0,1597680000.0,1.44,5.064795,0.062337663,PREPRE,4.63,2.61,23.45,
0015.HK,en-US,US,EQUITY,False,HKD,1683149952.0,2.47,0.42742857,-0.042428583,-0.09926473,0.5063732,-0.121373236,-0.23969126,648012736.0,,0.15587044,15,0,False,3,HKG,VANTAGE INT'L,Vantage International (Holdings) Limited,finmb_7658278,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.00999999,2.6666641,1589788732,0.385,0.385,0.36 - 0.385,0.36,1029807000000.0,66000.0,0.375,0.365,0.395,0.0,0.0,HKSE,HKD,0.375,191968.0,343666.0,0.049999982,0.14925368,0.335 - 0.89,-0.505,-0.5674157,0.335,0.89,,,,0.02,0.91973245,0.05333333,PREPRE,0.4186,,0.385,
0016.HK,en-US,US,EQUITY,False,HKD,2897999872.0,197.919,104.09571,-7.195709,-0.0691259,110.735916,-13.835915,-0.12494514,280816189440.0,8.462882,0.48959422,15,0,False,3,HKG,SHK PPT,Sun Hung Kai Properties Limited,finmb_411158,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.30000305,0.31056216,1589789320,96.9,98.2,96.9 - 98.2,96.9,946949400000.0,3952660.0,96.6,96.9,97.35,0.0,0.0,HKSE,HKD,97.0,5152661.0,7050896.0,7.0,0.07786429,89.9 - 137.6,-40.700005,-0.2957849,89.9,137.6,1582819140.0,1582819140.0,1582819140.0,4.95,6.251613,0.051242236,PREPRE,15.5,11.45,96.9,
0017.HK,en-US,US,EQUITY,False,HKD,10179500032.0,24.126,8.875714,-0.03571415,-0.0040238057,9.876267,-1.0362673,-0.10492499,89986785280.0,9.714286,0.3664097,15,0,False,3,HKG,NEW WORLD DEV,New World Development Company Limited,finmb_155731,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.0,0.0,1589789320,8.84,8.92,8.8 - 8.92,8.8,946949400000.0,8119882.0,8.84,8.84,8.85,0.0,0.0,HKSE,HKD,8.89,18112220.0,11207536.0,1.3800001,0.1849866,7.46 - 12.96,-4.12,-0.31790122,7.46,12.96,1582905540.0,1582905540.0,1582905540.0,0.51,4.9662924,0.057692304,PREPRE,1.78,0.91,8.84,
0018.HK,en-US,US,EQUITY,False,HKD,2397920000.0,0.751,0.4592857,0.020714283,0.045101084,0.5218662,-0.041866213,-0.08022404,1151001600.0,,0.6391478,15,0,False,3,HKG,ORIENTAL PRESS,Oriental Press Group Limited,finmb_878571,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.01000002,-2.0408204,1589788462,0.48,0.48,0.475 - 0.48,0.475,946949400000.0,20000.0,0.49,0.465,0.49,0.0,0.0,HKSE,HKD,0.475,168212.0,69000.0,0.07999998,0.19999996,0.4 - 0.83,-0.35,-0.42168674,0.4,0.83,,,,0.02,14.159291,0.040816326,PREPRE,0.0339,,0.48,
0019.HK,en-US,US,EQUITY,False,HKD,905206016.0,182.043,49.888573,-2.7885742,-0.05589605,64.77852,-17.67852,-0.27290714,66455744512.0,9.612245,0.25873008,15,0,False,3,HKG,SWIRE PACIFIC A,Swire Pacific Limited,finmb_874010,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.049999237,0.10626831,1589789320,47.1,47.3,46.2 - 47.3,46.2,946949400000.0,1911413.0,47.05,47.0,47.1,0.0,0.0,HKSE,HKD,46.5,2343511.0,2661140.0,2.0999985,0.046666633,45.0 - 100.0,-52.9,-0.52900004,45.0,100.0,1584025140.0,1597071540.0,1597420800.0,3.0,7.85,0.06376196,PREPRE,6.0,4.9,47.1,
0020.HK,en-US,US,EQUITY,False,HKD,2052850048.0,130.807,54.66143,0.5385704,0.0098528415,51.97324,3.2267609,0.062085044,113317322752.0,8.325791,0.42199576,15,0,False,3,HKG,WHEELOCK,Wheelock and Company Limited,finmb_877177,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.54999924,1.006403,1589789320,55.2,56.0,54.65 - 56.0,54.65,946949400000.0,1024252.0,54.65,55.2,55.45,0.0,0.0,HKSE,HKD,54.7,2263892.0,1446363.0,11.799999,0.2718894,43.4 - 71.0,-15.799999,-0.22253521,43.4,71.0,1552402740.0,1552402740.0,1552402740.0,1.575,12.321428,0.028819762,PREPRE,4.48,6.63,55.2,
0021.HK,en-US,US,EQUITY,False,HKD,3975229952.0,0.237,0.10028572,-0.002285719,-0.02279207,0.115760565,-0.017760567,-0.15342502,389572512.0,,0.4135021,15,0,False,3,HKG,GREAT CHI PPT,Great China Properties Holdings Limited,finmb_875347,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.001000002,-1.0101031,1588665505,0.098,0.099,0.094 - 0.099,0.094,1089941400000.0,10000.0,0.099,0.09,0.1,0.0,0.0,HKSE,HKD,0.094,299140.0,0.0,0.008999996,0.10112355,0.089 - 0.182,-0.084,-0.46153846,0.089,0.182,1553871540.0,1553871540.0,1553871540.0,,,,PREPRE,-0.0022,,0.098,
