Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1/4/2010,0,14.66501206,14.43380667,14.49986553,6239719,0,0,0
1/5/2010,14.66501548,14.83016205,14.59895661,14.83016205,7952312,0,0,0
1/6/2010,14.86318804,14.99530577,14.79712917,14.9292469,9995657,0,0,0
1/7/2010,14.99530861,14.99530861,14.76410317,14.83016205,5577754,0,0,0
1/8/2010,14.8301647,14.9292524,14.76410581,14.86319351,5276296,0,0,0
1/11/2010,14.99530577,15.09439344,14.86318804,14.9292469,6478189,0,0,0
1/12/2010,14.92925025,14.96227906,14.73107361,14.79713249,5649424,0,0,0
1/13/2010,14.6650145,14.6650145,14.30169133,14.46683788,10966750,0,0,0
1/14/2010,14.532896,14.63198368,14.40077826,14.43380833,4093347,0,0,0
1/15/2010,14.46683977,14.49986984,14.33472326,14.36775208,4150191,0,0,0
1/18/2010,14.26866817,14.40078471,14.16958046,14.26866817,6957523,0,0,0
1/19/2010,14.33472496,14.43381266,14.20260718,14.40078259,6903721,0,0,0
1/20/2010,14.40078039,14.40078039,14.07048725,14.13654613,13918030,0,0,0
1/21/2010,14.07048407,14.16957299,13.83927993,13.87230873,16467130,0,0,0
1/22/2010,13.60807567,13.83928108,13.44292912,13.83928108,34137440,0,0,0
1/25/2010,13.83928252,13.83928252,13.57504701,13.70716476,14430700,0,0,0
1/26/2010,13.70716499,13.70716499,13.34384305,13.40990067,22480900,0,0,0
1/27/2010,13.47595707,13.54201594,13.24475167,13.3438406,10325660,0,0,0
1/28/2010,13.40990207,13.60807873,13.40990207,13.54201984,8286605,0,0,0
1/29/2010,13.37687492,13.54202153,13.24475714,13.37687492,13750950,0,0,0
2/1/2010,13.24475152,13.47595692,13.19851069,13.47595692,15372850,0,0,0
2/2/2010,13.57504983,13.67413879,13.40990323,13.5089922,5339298,0,0,0
2/3/2010,13.64110706,13.83928371,13.50899056,13.77322483,7480593,0,0,0
2/4/2010,13.52880955,13.52880955,13.52880955,13.52880955,0,0,0,0
2/5/2010,13.21172626,13.21172626,13.09282052,13.11924458,22382059,0,0,0
2/8/2010,13.11924321,13.18530083,12.94749063,13.03997231,11042500,0,0,0
2/9/2010,12.94749093,13.24475399,12.94749093,13.15887833,9055665,0,0,0
2/10/2010,13.24475333,13.3108122,13.10603082,13.27778339,10579433,0,0,0
2/11/2010,13.31081552,13.54202101,13.31081552,13.5089922,5518549,0,0,0
2/12/2010,13.47596212,13.6080799,13.40990323,13.5089922,4125741,0,0,0
2/17/2010,13.77322289,13.8062517,13.60807633,13.67413521,5962988,0,0,0
2/18/2010,13.74019406,13.74019406,13.54201868,13.57504749,3394881,0,0,0
2/19/2010,13.50899324,13.50899324,13.21172883,13.24475765,7359889,0,0,0
2/22/2010,13.54201984,13.64110754,13.47596096,13.54201984,6781363,0,0,0
2/23/2010,13.50898939,13.80625245,13.37687164,13.70716476,8154156,0,0,0
2/24/2010,13.57504772,13.70716549,13.54201891,13.64110661,4197999,0,0,0
2/25/2010,13.64110637,13.74019406,13.44293099,13.57504749,6464339,0,0,0
2/26/2010,13.60807782,13.77322439,13.60807782,13.74019432,5381179,0,0,0
3/1/2010,13.83928042,14.00442696,13.83928042,14.00442696,11754547,0,0,0
3/2/2010,13.80625295,13.97139951,13.80625295,13.9383707,6980948,0,0,0
3/3/2010,13.97139907,14.00442914,13.87231139,13.90534019,6267048,0,0,0
3/4/2010,13.93837021,14.00442908,13.67413596,13.70716476,3637631,0,0,0
3/5/2010,13.93836876,13.93836876,13.74019215,13.83928108,3233569,0,0,0
3/8/2010,14.004427,14.16957354,14.004427,14.10351467,7225334,0,0,0
3/9/2010,14.10351732,14.1695762,14.03745844,14.13654613,12199955,0,0,0
3/10/2010,14.13654613,14.20260501,14.07048725,14.13654613,14829634,0,0,0
3/11/2010,14.1695762,14.20260501,14.00442963,14.13654613,19322375,0,0,0
3/12/2010,14.07048461,14.16957354,14.07048461,14.10351467,5128681,0,0,0
3/15/2010,14.1365459,14.1365459,13.93837052,14.07048702,5659053,0,0,0
3/16/2010,13.93836809,14.13654343,13.93836809,14.00442696,3599422,0,0,0
3/17/2010,14.13655038,14.30169699,14.10352156,14.26866817,5442208,0,0,0
3/18/2010,14.23562928,14.30168814,14.16957168,14.20260048,3568246,0,0,0
3/19/2010,14.20260048,14.26865934,14.16957168,14.20260048,8515826,0,0,0
3/22/2010,14.03745914,14.03745914,13.90534138,13.97140026,5711996,0,0,0
3/23/2010,13.87230922,14.16957349,13.87230922,14.00442696,7824853,0,0,0
3/24/2010,14.00442866,14.16957522,13.97139859,14.03745747,7054510,0,0,0
3/25/2010,13.83928108,13.87230989,13.77322221,13.83928108,9594728,0,0,0
3/26/2010,13.74019149,14.10351463,13.74019149,14.00442696,6561868,0,0,0
3/29/2010,14.07048485,14.23563139,14.07048485,14.16957378,4963084,0,0,0
3/30/2010,14.16957623,14.3347228,14.10351735,14.23563385,8179362,0,0,0
3/31/2010,14.20260259,14.30169026,14.16957378,14.16957378,11731242,0,0,0
4/1/2010,14.40078259,14.40078259,14.26866607,14.40078259,7608769,0,0,0
4/7/2010,14.46683836,14.63198492,14.46683836,14.59895611,11780794,0,0,0
4/8/2010,14.59895853,14.63198735,14.53289965,14.56592846,10386988,0,0,0
4/9/2010,14.63198592,14.86319137,14.63198592,14.79713249,9660958,0,0,0
4/12/2010,14.86319137,14.89622018,14.76410368,14.79713249,15758990,0,0,0
4/13/2010,14.79712888,14.86318774,14.66501241,14.76410007,10612275,0,0,0
4/14/2010,14.83015894,14.83015894,14.69804121,14.76410007,12424538,0,0,0
4/15/2010,14.83015894,14.89621654,14.73107001,14.76410007,6678302,0,0,0
4/16/2010,14.7310726,14.76410267,14.53289723,14.59895611,8817095,0,0,0
4/19/2010,14.46683857,14.46683857,14.20260432,14.30169201,12998092,0,0,0
4/20/2010,14.30169488,14.43381266,14.30169488,14.40078259,16964948,0,0,0
4/21/2010,14.40078014,14.49986909,14.30169245,14.33472252,7870709,0,0,0
4/22/2010,14.2686632,14.33472208,14.13654545,14.30169201,4298628,0,0,0
4/23/2010,14.23562928,14.3347182,14.16957168,14.20260048,6378312,0,0,0
4/26/2010,14.40078089,14.46683977,14.33472326,14.36775208,4827666,0,0,0
4/27/2010,14.20260259,14.30169026,14.13654372,14.16957378,11796759,0,0,0
4/28/2010,13.87230922,14.07048456,13.87230922,14.00442696,8635874,0,0,0
4/29/2010,14.00442911,14.03745792,13.77322367,13.80625248,8356489,0,0,0
4/30/2010,13.93836978,14.03745747,13.87231091,14.03745747,13614145,0,0,0
5/3/2010,13.87230989,13.90533869,13.80625102,13.83928108,6514240,0,0,0
5/4/2010,13.90534017,13.97139904,13.77322367,13.80625248,7288202,0,0,0
5/5/2010,13.60807873,13.64110754,13.47596096,13.54201984,17256602,0,0,0
5/6/2010,13.47595807,13.54201694,13.24475265,13.44292927,18944803,0,0,0
5/7/2010,13.14566564,13.37687108,13.14566564,13.27778339,26520669,0,0,0
5/10/2010,13.44293122,13.67413668,13.34384353,13.64110661,12197553,0,0,0
5/11/2010,13.60807582,13.60807582,13.31081153,13.44292927,8322703,0,0,0
5/12/2010,13.47595692,13.50898698,13.34384045,13.47595692,4134705,0,0,0
5/13/2010,13.3438428,13.70716474,13.54201817,13.60807705,8032523,0,0,0
5/14/2010,13.44292927,13.60807582,13.4098992,13.44292927,9016278,0,0,0
5/17/2010,13.24475399,13.24475399,13.09281945,13.15887833,16982192,0,0,0
5/18/2010,13.01354753,13.3768694,13.15887603,13.3438406,6910237,0,0,0
