"00064","  1017690","20140401","HK0010176900","","Get Nice Holdings Ltd.","","0","","0101"
"00065","  1300120","20140401","HK0013001200","","DeTeam Co. Ltd.","","0","","0101"
"00066","  1009060","20140401","HK0010090600","","MTR Corporation Ltd.","","0","","0101"
"00067","  1298990","20140401","HK0012989900","","China Lumena New Materials Corp.","","0","","0101"
"00068","  2158010","20140401","HK0021580102","","Lee Hing Development Ltd.","","0","","0101"
"00069","  2686010","20140401","HK0026860103","","Shangri-La Asia Ltd.","","0","","0101"
"00070","  2209010","20140401","HK0022090101","","Neptune Group Ltd.","","0","","0101"
"00071","  2094010","20140401","HK0020940109","","Miramar Hotel & Investment Co. Ltd.","","0","","0101"
"00072","  1328390","20140401","HK0013283900","","Modern Media Holdings Ltd.","","0","","0101"
"00073","  1360290","20140401","HK0013602900","","Asian Citrus Holdings Ltd.","","0","","0101"
"00074","  1004050","20140401","HK0010040500","","Great Wall Technology Co. Ltd. - H Shares","","0","","0101"
"00075","  2316010","20140401","HK0023160101","","Y. T. Realty Group Ltd.","","0","","0101"
"00076","  2315010","20140401","HK0023150102","","South Sea Petroleum Holdings Ltd.","","0","","0101"
"00077","  1033270","20140401","HK0010332700","","AMS Public Transport Holdings Ltd.","","0","","0101"
"00078","  2286010","20140401","HK0022860107","","Regal Hotels International Holdings Ltd.","","0","","0101"
"00079","  2690010","20140401","HK0026900107","","Century Legend (Holdings) Ltd.","","0","","0101"
"00080","  1522720","20140401","HK0015227200","","China New Economy Fund Ltd.","","0","","0102"
"00081","  2312010","20140401","HK0023120105","","China Overseas Grand Oceans Group Ltd.","","0","","0101"
"00082","  2551010","20140401","HK0025510105","","VODone Ltd.","","0","","0101"
"00083","  2290010","20140401","HK0022900101","","Sino Land Co. Ltd.","","0","","0101"
"00084","  2141010","20140401","HK0021410102","","Stelux Holdings International Ltd.","","0","","0101"
"00085","  3048010","20140401","HK0030480104","","China Electronics Corporation Holdings Co. Ltd.","","0","","0101"
"00086","  2308010","20140401","HK0023080101","","Sun Hung Kai & Co. Ltd.","","0","","0101"
"00087","  2077020","20140401","HK0020770209","","Swire Pacific Ltd. 'B'","","0","","0101"
"00088","  2177010","20140401","HK0021770109","","Tai Cheung Holdings Ltd.","","0","","0101"
"00089","  2223010","20140401","HK0022230103","","Tai Sang Land Development Ltd.","","0","","0101"
"00090","  1306740","20140401","HK0013067400","","Amber Energy Ltd.","","0","","0101"
"00091","  2292010","20140401","HK0022920109","","International Standard Resources Holdings Ltd.","","0","","0101"
"00092","  2609010","20140401","HK0026090107","","Champion Technology Holdings Ltd.","","0","","0101"
"00093","  2550010","20140401","HK0025500106","","Termbray Industries International (Holdings) Ltd.","","0","","0101"
"00094","  2393010","20140401","HK0023930107","","Greenheart Group Ltd.","","0","","0101"
"00095","  1060550","20140401","HK0010605500","","New Heritage Holdings Ltd.","","0","","0101"
"00096","  1514260","20140401","HK0015142600","","Yusei Holdings Ltd.","","0","","0101"
"00097","  2157010","20140401","HK0021570103","","Henderson Investment Ltd.","","0","","0101"
"00098","  1178540","20140401","HK0011785400","","Xingfa Aluminium Holdings Ltd.","","0","","0101"
"00099","  2309010","20140401","HK0023090100","","Wong's International Holdings Ltd.","","0","","0101"
"00100","  1013270","20140401","HK0010132700","","Clear Media Ltd.","","0","","0101"
"00101","  2075010","20140401","HK0020750102","","Hang Lung Properties Ltd.","","0","","0101"
"00102","  2773010","20140401","HK0027730107","","Summit Ascent Holdings Ltd.","","0","","0101"
"00103","  2583010","20140401","HK0025830107","","Shougang Concord Century Holdings Ltd.","","0","","0101"
"00104","  2363010","20140401","HK0023630103","","Asia Commercial Holdings Ltd.","","0","","0101"
"00105","  2325010","20140401","HK0023250100","","Associated International Hotels Ltd.","","0","","0101"
"00106","  2331010","20140401","HK0023310102","","Landsea Green Properties Co., Ltd.","","0","","0101"
"00107","  3068010","20140401","HK0030680109","","Sichuan Expressway Co. Ltd. - H Shares","","0","","0101"
"00108","  2217010","20140401","HK0022170101","","Buildmore International Ltd.","","0","","0101"
"00109","  3090010","20140401","HK0030900101","","Good Fellow Resources Holdings Ltd.","","0","","0101"
"00110","  1030340","20140401","HK0010303400","","China Fortune Holdings Ltd.","","0","","0101"
"00111","  1008140","20140401","HK0010081400","","Cinda International Holdings Ltd.","","0","","0101"
"00112","  2173010","20140401","HK0021730103","","LT Holdings Ltd.","","0","","0101"
"00113","  2246010","20140401","HK0022460106","","Dickson Concepts (International) Ltd.","","0","","0101"
"00114","  2090010","20140401","HK0020900103","","Herald Holdings Ltd.","","0","","0101"
"00115","  2207010","20140401","HK0022070103","","Grand Field Group Holdings Ltd.","","0","","0101"
"00116","  2256010","20140401","HK0022560103","","Chow Sang Sang Holdings International Ltd.","","0","","0101"
"00117","  1155610","20140401","HK0011556100","","EYANG Holdings (Group) Co., Ltd.","","0","","0101"
"00118","  2410010","20140401","HK0024100106","","Cosmos Machinery Enterprises Ltd.","","0","","0101"
"00119","  2263010","20140401","HK0022630104","","Poly Property Group Co., Ltd.","","0","","0101"
"00120","  2118010","20140401","HK0021180101","","Cosmopolitan International Holdings Ltd.","","0","","0101"
"00121","  2289010","20140401","HK0022890104","","C.P. Lotus Corporation","","0","","0101"
"00122","  2123010","20140401","HK0021230104","","Crocodile Garments Ltd.","","0","","0101"
"00123","  2657010","20140401","HK0026570108","","Yuexiu Property Co. Ltd.","","0","","0101"
"00124","  3054010","20140401","HK0030540105","","Guangdong Land Holdings Ltd.","","0","","0101"
"00125","  1003390","20140401","HK0010033900","","Sun Hing Vision Group Holdings Ltd.","","0","","0101"
"00126","  2553010","20140401","HK0025530103","","Carrianna Group Holdings Co. Ltd.","","0","","0101"
"00127","  2011010","20140401","HK0020110109","","Chinese Estates Holdings Ltd.","","0","","0101"
"00128","  2161010","20140401","HK0021610107","","ENM Holdings Ltd.","","0","","0101"
"00129","  2201010","20140401","HK0022010109","","Asia Standard International Group Ltd.","","0","","0101"
"00130","  1015140","20140401","HK0010151400","","Moiselle International Holdings Ltd.","","0","","0101"
"00131","  2218010","20140401","HK0022180100","","Cheuk Nang (Holdings) Ltd.","","0","","0101"
"00132","  2261010","20140401","HK0022610106","","China Investments Holdings Ltd.","","0","","0101"
"00133","  2696010","20140401","HK0026960101","","China Merchants China Direct Investments Ltd.","","0","","0102"
"00135","  2243010","20140401","HK0022430109","","Kunlun Energy Co. Ltd.","","0","","0101"
"00136","  3060010","20140401","HK0030600107","","Mascotte Holdings Ltd.","","0","","0101"
"00137","  2561010","20140401","HK0025610103","","Jinhui Holdings Co. Ltd.","","0","","0101"
"00138","  2555010","20140401","HK0025550101","","CCT Fortis Holdings Ltd.","","0","","0101"
"00139","  2785010","20140401","HK0027850103","","ICube Technology Holdings Ltd.","","0","","0101"
"00141","  2240010","20140401","HK0022400102","","Great China Holdings Ltd.","","0","","0101"
"00142","  2399010","20140401","HK0023990101","","First Pacific Co. Ltd.","","0","","0101"
"00143","  1003030","20140401","HK0010030300","","Global Tech (Holdings) Ltd.","","0","","0101"
"00144","  2600010","20140401","HK0026000106","","China Merchants Holdings (International) Co. Ltd.","","0","","0101"
"00145","  2115010","20140401","HK0021150104","","Hong Kong Building and Loan Agency Ltd., The","","0","","0101"
"00146","  2265010","20140401","HK0022650102","","Tai Ping Carpets International Ltd.","","0","","0101"
"00147","  2392010","20140401","HK0023920108","","Chaoyue Group Ltd.","","0","","0101"
"00148","  2727010","20140401","HK0027270104","","Kingboard Chemical Holdings Ltd.","","0","","0101"
"00149","  2242010","20140401","HK0022420100","","China Agri-Products Exchange Ltd.","","0","","0101"
"00151","  1178170","20140401","HK0011781700","","Want Want China Holdings Ltd.","","0","","0101"
"00152","  2138010","20140401","HK0021380107","","Shenzhen International Holdings Ltd.","","0","","0101"
"00153","  1900480","20140401","HK0019004800","","China Saite Group Co. Ltd.","","0","","0101"
"00154","  2113010","20140401","HK0021130106","","Beijing Development (Hong Kong) Ltd.","","0","","0101"
"00155","  2398010","20140401","HK0023980102","","China Solar Energy Holdings Ltd.","","0","","0101"
"00156","  2254010","20140401","HK0022540105","","Lippo China Resources Ltd.","","0","","0101"
"00157","  1016530","20140401","HK0010165300","","Natural Beauty Bio-Technology Ltd.","","0","","0101"
"00158","  2129010","20140401","HK0021290108","","Melbourne Enterprises Ltd.","","0","","0101"
"00159","  2322010","20140401","HK0023220103","","Brockman Mining Ltd.","","0","","0101"
"00160","  2270010","20140401","HK0022700105","","Hon Kwok Land Investment Co., Ltd.","","0","","0101"
"00161","  3063010","20140401","HK0030630104","","AVIC International Holdings Ltd. - H Shares","","0","","0101"
"00162","  1009430","20140401","HK0010094300","","Century Ginwa Retail Holdings Ltd.","","0","","0101"
"00163","  2160010","20140401","HK0021600108","","Emperor International Holdings Ltd.","","0","","0101"
"00164","  2203010","20140401","HK0022030107","","China Gamma Group Ltd.","","0","","0101"
"00165","  2229010","20140401","HK0022290107","","China Everbright Ltd.","","0","","0101"
"00166","  1001650","20140401","HK0010016500","","New Times Energy Corporation Ltd.","","0","","0101"
"00167","  2404010","20140401","HK0024040104","","IDT International Ltd.","","0","","0101"
"00168","  2697010","20140401","HK0026970100","","Tsingtao Brewery Co. Ltd. - H Shares","","0","","0101"
"00169","  1017660","20140401","HK0010176600","","Wanda Commercial Properties (Group) Co., Ltd.","","0","","0101"
"00170","  2587010","20140401","HK0025870103","","China Assets (Holdings) Ltd.","","0","","0102"
"00171","  2225010","20140401","HK0022250101","","Silver Grant International Industries Ltd.","","0","","0101"
"00172","  2130010","20140401","HK0021300105","","Goldbond Group Holdings Ltd.","","0","","0101"
"00173","  2347010","20140401","HK0023470104","","K. Wah International Holdings Ltd.","","0","","0101"
"00174","  2401010","20140401","HK0024010107","","Gemini Investments (Holdings) Ltd.","","0","","0101"
"00175","  2226010","20140401","HK0022260100","","Geely Automobile Holdings Ltd.","","0","","0101"
"00176","  2802010","20140401","HK0028020102","","United Pacific Industries Ltd.","","0","","0101"
"00177","  3042010","20140401","HK0030420100","","Jiangsu Expressway Co. Ltd. - H Shares","","0","","0101"
"00178","  3034010","20140401","HK0030340100","","Sa Sa International Holdings Ltd.","","0","","0101"
"00179","  2314010","20140401","HK0023140103","","Johnson Electric Holdings Ltd.","","0","","0101"
"00180","  2321010","20140401","HK0023210104","","Kader Holdings Co. Ltd.","","0","","0101"
"00181","  2224010","20140401","HK0022240102","","Fujian Holdings Ltd.","","0","","0101"
"00182","  2559010","20140401","HK0025590107","","China WindPower Group Ltd.","","0","","0101"
"00183","  1507860","20140401","HK0015078600","","Richfield Group Holdings Ltd.","","0","","0101"
"00184","  2227010","20140401","HK0022270109","","Keck Seng Investments (Hong Kong) Ltd.","","0","","0101"
"00185","  2184010","20140401","HK0021840100","","Heng Fai Enterprises Ltd.","","0","","0101"
"00186","  2361010","20140401","HK0023610105","","Grande Holdings Ltd., The","","0","","0101"
"00187","  2702010","20140401","HK0027020103","","Beijing Jingcheng Machinery Electric Co. Ltd. - H Shares","","0","","0101"
"00188","  1008670","20140401","HK0010086700","","Sunwah Kingsway Capital Holdings Ltd.","","0","","0101"
"00189","  1152980","20140401","HK0011529800","","Dongyue Group Ltd.","","0","","0101"
"00190","  2355010","20140401","HK0023550103","","HKC (Holdings) Ltd.","","0","","0101"
"00191","  2372010","20140401","HK0023720102","","Lai Sun Garment (International) Ltd.","","0","","0101"
"00193","  2134010","20140401","HK0021340101","","Capital Estate Ltd.","","0","","0101"
"00194","  2159010","20140401","HK0021590101","","Liu Chong Hing Investment Ltd.","","0","","0101"
"00195","  1238050","20140401","HK0012380500","","L'sea Resources International Holdings Ltd.","","0","","0101"
"00196","  1173050","20140401","HK0011730500","","Honghua Group Ltd.","","0","","0101"
"00197","  1013190","20140401","HK0010131900","","Heng Tai Consumables Group Ltd.","","0","","0101"
"00198","  2214010","20140401","HK0022140104","","SMI Corporation Ltd.","","0","","0101"
"00199","  2786010","20140401","HK0027860102","","ITC Properties Group Ltd.","","0","","0101"
"00200","  2052010","20140401","HK0020520109","","Melco International Development Ltd.","","0","","0101"
"00201","  2163010","20140401","HK0021630105","","Magnificent Estates Ltd.","","0","","0101"
"00202","  2208010","20140401","HK0022080102","","EverChina Int'l Holdings Co. Ltd.","","0","","0101"
"00204","  1010140","20140401","HK0010101400","","China Investment Development Ltd.","","0","","0102"
"00205","  2663010","20140401","HK0026630100","","SEEC Media Group Ltd.","","0","","0101"
"00206","  1293740","20140401","HK0012937400","","TSC Group Holdings Ltd.","","0","","0101"
