Date,阿里巴巴-SW,騰訊控股,建設銀行,美團點評-W,中國移動,友邦保險,滙豐控股,中國平安,香港交易所,工商銀行,中海油,小米集團-W,百威亞太,中國恒大,恒大健康,阿里健康,新鴻基地產,中國海外發展,恒生銀行,金沙中國有限公司,港鐵公司,華潤置地,中銀香港,龍湖集團,銀河娛樂,中國銀行,碧桂園,中芯國際,藥明生物,翰森製藥,安踏體育,香港中華煤氣,長和,中國生物製藥,海底撈,中電控股,華潤啤酒,招商銀行,融創中國,吉利汽車,舜宇光學科技,長實集團,創科實業,蒙牛乳業,申洲國際,中國人壽,中國飛鶴,中國聯通,平安好醫生,碧桂園服務,中國燃氣,世茂集團,石藥集團,中升控股,新奧能源,高鑫零售,萬洲國際,頤海國際,新世界發展,威高股份,華潤燃氣,中石化,農業銀行,九龍倉置業,粵海投資,恒安國際,海螺水泥,微創醫療,瑞聲科技,華潤水泥控股,比亞迪股份,金蝶國際,信義光能,永利澳門,信達生物,中國鐵塔,中國金茂,李寧,中國太保,海螺創業,雅生活服務,比亞迪電子,中國石油股份,ESR,聯想集團,昆侖能源,旭輝控股集團,金山軟件,閱文集團,中信銀行,中國太平,澳博控股,萬科企業,信義玻璃,青島啤酒,中國神華,華虹半導體,中國財險,中國建材,中信証券,民生銀行,合景泰富集團,九龍倉集團,華晨中國,ASM PACIFIC,玖龍紙業,中金公司,綠城服務,北京控股,濰柴動力,康希諾生物-B,敏華控股,新東方在綫,中國電信,新華保險,金斯瑞生物科技,中航科工,愛康醫療,中國有贊,紫金礦業,美東汽車,藥明康德,華寶國際,錦欣生殖,FIT HON TENG,長城汽車,國藥控股,海通證券,三生製藥,國美零售,微盟集團,永升生活服務,HTSC,中國人民保險集團,中國國航,廣汽集團,眾安在綫,天能動力,復星醫藥,心動公司,恒騰網絡,中國銀河,中興通訊,希望教育,維亞生物,山東黃金,移卡,永達汽車,東風集團,中國軟件國際,中信建投証券,中車時代電氣,聯邦制藥,建業新生活,保利物業,中糧肉食,洛陽鉬業,康龍化成,福耀玻璃,中聯重科,美蘭空港,招金礦業,贛鋒鋰業,香港電視,中船防務,光大證券,中國動向,福萊特玻璃,東陽光藥,遠大住工,FI二南方恒指,FL二南方恒指,領展房產基金
2020-10-09,286.20001220703125,538.033203125,4.700457572937012,270.0,46.709381103515625,78.54342651367188,30.297103881835938,77.75489044189453,364.8267517089844,3.7544538974761963,7.151362895965576,20.950000762939453,25.643199920654297,19.175559997558594,20.100000381469727,21.350000381469727,94.00526428222656,18.637388229370117,112.73396301269531,28.350000381469727,37.581661224365234,34.55791473388672,20.295269012451172,42.250484466552734,52.099998474121094,2.210263729095459,9.369001388549805,18.479999542236328,67.53333282470703,38.318790435791016,85.34019470214844,10.373908996582031,45.32730484008789,8.398879051208496,59.49009704589844,70.05951690673828,46.554481506347656,36.28620147705078,27.483675003051758,15.63975715637207,125.12053680419922,36.897796630859375,105.14144134521484,37.174720764160156,133.80087280273438,17.061613082885742,17.582979202270508,4.634068012237549,98.0,52.22815704345703,21.64495086669922,29.759220123291016,9.628498077392578,50.16682815551758,83.25634765625,7.777586936950684,6.086711406707764,120.92041778564453,36.22873306274414,15.816546440124512,33.47392654418945,2.832791805267334,2.244811534881592,29.451868057250977,11.82723331451416,52.9547119140625,50.483802795410156,32.58015823364258,44.252071380615234,10.025227546691895,122.20426940917969,23.149999618530273,13.342264175415039,11.819999694824219,60.75,1.3166959285736084,3.8116674423217773,37.62764358520508,22.506284713745117,35.14307403564453,38.8156623840332,41.51323318481445,2.104511022567749,24.200000762939453,4.906883239746094,3.607895612716675,5.628843307495117,41.09255599975586,63.25,2.7438623905181885,11.109217643737793,8.65999984741211,22.39876365661621,16.115163803100586,63.50885009765625,11.9911527633667,27.75,4.9612579345703125,9.466601371765137,16.771135330200195,3.6837642192840576,9.843552589416504,15.804139137268066,7.429999828338623,81.79532623291016,9.607797622680664,18.24042510986328,9.764901161193848,22.718769073486328,15.783177375793457,175.0,11.042250633239746,33.400001525878906,2.225609302520752,27.365619659423828,12.640000343322754,4.468358516693115,22.226280212402344,1.7599999904632568,5.165927410125732,30.37610626220703,94.7046890258789,7.15713357925415,10.0,3.0899999141693115,10.838004112243652,16.47050666809082,6.047201633453369,8.539999961853027,1.0700000524520874,10.619999885559082,15.875312805175781,12.342516899108887,2.1300129890441895,5.150000095367432,6.431140899658203,40.150001525878906,12.998802185058594,34.07249450683594,40.45000076293945,3.299999952316284,4.140626907348633,18.727096557617188,2.262139081954956,8.811369895935059,20.467784881591797,50.0,9.52138900756836,4.618798732757568,6.000361919403076,10.588044166564941,27.75,7.630399227142334,8.343798637390137,62.9719123840332,2.3538525104522705,2.8642053604125977,100.303955078125,27.721851348876953,7.496840476989746,38.900001525878906,9.7175874710083,43.26167297363281,12.11062240600586,8.305375099182129,7.115440845489502,0.9390249848365784,25.122745513916016,9.84000015258789,32.0,6.710000038146973,7.315000057220459,59.12285614013672
2020-10-12,292.0,555.485595703125,4.962634563446045,275.20001220703125,47.504234313964844,79.23370361328125,30.297103881835938,79.1502456665039,369.5342102050781,3.9697961807250977,7.142014503479004,22.700000762939453,24.799999237060547,18.92119026184082,22.850000381469727,21.25,94.38701629638672,18.965181350708008,113.02227783203125,28.350000381469727,38.019222259521484,35.56306838989258,20.677297592163086,42.250484466552734,51.900001525878906,2.302743434906006,9.444254875183105,20.600000381469727,71.46666717529297,37.870906829833984,86.87919616699219,10.466532707214355,45.375267028808594,8.458374977111816,59.59000015258789,71.21117401123047,45.462581634521484,37.702484130859375,27.483675003051758,16.253469467163086,125.91621398925781,36.99388122558594,105.93270874023438,38.11773681640625,133.6032257080078,17.308609008789062,17.95212173461914,4.984853744506836,102.0,53.623565673828125,21.400651931762695,29.478912353515625,9.73917007446289,49.52302551269531,81.46053314208984,7.728916168212891,6.0964508056640625,118.2332992553711,36.70417404174805,15.777349472045898,33.47392654418945,2.8685367107391357,2.346848487854004,29.790393829345703,11.981584548950195,52.105926513671875,50.8626708984375,32.530189514160156,44.05385208129883,9.819869995117188,128.79371643066406,23.899999618530273,13.068778038024902,11.819999694824219,67.5,1.3557090759277344,3.838701009750366,39.32213592529297,23.40255355834961,35.14307403564453,38.31866455078125,42.95500946044922,2.1230528354644775,24.549999237060547,4.954802513122559,3.6718151569366455,5.638383388519287,42.93549346923828,67.05000305175781,2.8732025623321533,11.240134239196777,8.720000267028809,22.539634704589844,15.539624214172363,63.21208190917969,12.096031188964844,31.25,5.045665264129639,9.580201148986816,17.30476188659668,3.814659357070923,9.82581615447998,15.902423858642578,7.320000171661377,81.79532623291016,9.578829765319824,18.75479507446289,9.79470157623291,22.67083740234375,16.249103546142578,180.89999389648438,10.884785652160645,34.54999923706055,2.349785089492798,28.441532135009766,12.899999618530273,4.5968732833862305,23.22297477722168,1.9199999570846558,5.373354434967041,29.98097038269043,97.53170013427734,7.779923439025879,10.220000267028809,3.140000104904175,11.409461975097656,16.567277908325195,6.238166332244873,8.460000038146973,1.059999942779541,11.420000076293945,15.935070037841797,12.629551887512207,2.1765198707580566,5.110000133514404,6.440811634063721,41.54999923706055,13.057005882263184,34.12158966064453,40.099998474121094,3.3499999046325684,4.225321292877197,19.776288986206055,2.3418619632720947,9.151037216186523,20.766586303710938,53.0,9.307207107543945,4.693901062011719,6.169807434082031,10.721346855163574,27.200000762939453,7.454763412475586,8.286909103393555,62.823158264160156,2.5382964611053467,2.9236695766448975,107.7893295288086,28.115068435668945,7.7077484130859375,38.900001525878906,9.985590934753418,43.01247024536133,12.408425331115723,8.470898628234863,7.445939064025879,0.9390249848365784,25.370018005371094,10.380000114440918,34.349998474121094,6.400000095367432,7.65500020980835,59.36319351196289
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-14,297.6000061035156,571.9407348632812,4.962634563446045,278.3999938964844,47.971797943115234,80.21981048583984,29.381927490234375,79.58328247070312,365.8074645996094,3.9885220527648926,6.917657852172852,23.25,23.65920066833496,15.712218284606934,22.399999618530273,22.200000762939453,94.33928680419922,18.637388229370117,111.96510314941406,27.350000381469727,38.21369171142578,34.51005554199219,20.581789016723633,41.76926803588867,51.400001525878906,2.3212392330169678,9.180869102478027,19.959999084472656,68.13333129882812,38.965736389160156,85.24090576171875,10.577682495117188,44.991546630859375,8.230305671691895,56.593013763427734,71.21117401123047,45.462581634521484,37.36062240600586,26.765146255493164,16.570222854614258,128.2037811279297,36.94584274291992,103.85560607910156,38.1673698425293,134.88787841796875,17.061613082885742,18.30183982849121,5.086397171020508,101.0999984741211,51.779632568359375,22.328990936279297,29.712501525878906,9.689983367919922,48.63161087036133,83.20646667480469,7.904130935668945,6.0282793045043945,115.34712982177734,36.65663146972656,15.816546440124512,33.47392654418945,2.78596568107605,2.3746767044067383,30.0805606842041,12.251701354980469,54.03926467895508,49.86814880371094,35.02866744995117,43.55830764770508,9.633179664611816,134.284912109375,23.799999237060547,13.32273006439209,11.119999885559082,65.55000305175781,1.3264491558074951,3.9690489768981934,38.52473068237305,23.253175735473633,36.41566467285156,36.280967712402344,41.61266326904297,2.067427158355713,24.75,5.175228595733643,3.629202365875244,5.438034534454346,43.28416061401367,66.5999984741211,2.8732025623321533,10.978300094604492,8.40999984741211,22.257890701293945,15.635546684265137,61.381996154785156,12.02611255645752,29.75,4.998772144317627,9.229936599731445,17.133235931396484,3.7959601879119873,9.648454666137695,15.823796272277832,7.239999771118164,80.00454711914062,9.424332618713379,18.93284797668457,9.725165367126465,22.718769073486328,16.423824310302734,176.3000030517578,10.983201026916504,33.849998474121094,2.311577081680298,27.880186080932617,12.899999618530273,4.240986347198486,23.073471069335938,1.9199999570846558,5.402986526489258,29.931575775146484,98.11373138427734,7.582212924957275,10.180000305175781,3.5799999237060547,12.572084426879883,16.315671920776367,6.1654181480407715,8.130000114440918,1.0299999713897705,11.420000076293945,15.198073387145996,12.361652374267578,2.1672184467315674,5.010000228881836,6.866330623626709,41.04999923706055,13.115209579467773,35.299888610839844,39.25,3.25,4.168858051300049,19.796085357666016,2.122624158859253,8.851330757141113,20.218786239624023,53.20000076293945,9.540860176086426,4.966146945953369,6.179774761199951,10.416654586791992,26.450000762939453,7.786519527435303,7.888682842254639,60.88937759399414,2.5382964611053467,2.784919023513794,106.59166717529297,28.01676368713379,7.765269756317139,37.54999923706055,10.02529525756836,42.41437911987305,12.448131561279297,8.10090446472168,7.173763751983643,0.9299082159996033,25.1954345703125,9.670000076293945,36.04999923706055,6.409999847412109,7.635000228881836,58.97865295410156
2020-10-15,284.79998779296875,550.4992065429688,4.925180912017822,265.0,46.98991775512695,77.26148986816406,28.80392074584961,79.58328247070312,355.01959228515625,3.9697961807250977,6.814827919006348,22.450000762939453,23.262399673461914,15.41871452331543,22.049999237060547,20.649999618530273,93.76667022705078,18.187843322753906,110.12643432617188,27.0,37.87337112426758,34.36646270751953,20.19976043701172,41.14369201660156,51.04999923706055,2.2934954166412354,9.058582305908203,19.799999237060547,66.93333435058594,37.423030853271484,84.69480895996094,10.410958290100098,44.51189422607422,8.06173324584961,55.44416809082031,70.29944610595703,45.95889663696289,37.94667053222656,26.405881881713867,16.530630111694336,125.02107238769531,36.08104705810547,103.55886840820312,37.72067642211914,134.98670959472656,16.928617477416992,18.049266815185547,5.003316402435303,99.75,51.281272888183594,22.328990936279297,29.43219566345215,9.532581329345703,48.383995056152344,80.46285247802734,7.884663105010986,5.911414623260498,113.55571746826172,36.22873306274414,15.011849403381348,32.738773345947266,2.7584726810455322,2.393228769302368,29.790393829345703,12.097349166870117,52.341697692871094,48.6841926574707,32.78003692626953,43.11231994628906,9.502496719360352,134.08523559570312,22.799999237060547,12.873430252075195,10.979999542236328,65.80000305175781,1.3069425821304321,4.045376777648926,37.67748260498047,23.40255355834961,36.41566467285156,35.634864807128906,40.220603942871094,2.039614200592041,24.799999237060547,5.041056156158447,3.543976068496704,5.314009666442871,39.99675750732422,65.5999984741211,2.900918483734131,11.015705108642578,8.140000343322754,22.023101806640625,15.175113677978516,61.5303840637207,12.200910568237305,29.25,4.923743724822998,9.390869140625,16.694902420043945,3.8240091800689697,9.222787857055664,15.548600196838379,7.159999847412109,80.34334564208984,9.144306182861328,18.75479507446289,9.347681999206543,22.431188583374023,15.841418266296387,180.10000610351562,10.510805130004883,32.150001525878906,2.311577081680298,27.693071365356445,12.539999961853027,4.19155740737915,22.42561912536621,1.9199999570846558,5.452374458312988,31.215770721435547,98.4463119506836,7.859007358551025,9.84000015258789,3.509999990463257,12.237091064453125,16.044710159301758,6.056295394897461,8.0600004196167,1.0099999904632568,10.819999694824219,14.042780876159668,12.304244995117188,2.1393144130706787,4.989999771118164,6.846989154815674,39.150001525878906,12.746586799621582,33.92520523071289,38.0,3.200000047683716,4.093574047088623,19.004241943359375,2.152520179748535,8.171996116638184,20.268587112426758,51.29999923706055,10.027639389038086,5.247781276702881,6.050199031829834,10.188136100769043,26.350000381469727,7.454763412475586,7.926609039306641,56.97222900390625,2.4943811893463135,2.7650976181030273,104.59557342529297,27.672697067260742,7.688575744628906,37.349998474121094,10.124554634094238,43.85976028442383,12.904762268066406,7.906171798706055,7.154323101043701,0.8843245506286621,22.913959503173828,9.300000190734863,37.20000076293945,6.644999980926514,7.349999904632568,58.83445739746094
2020-10-16,294.0,555.485595703125,5.206084251403809,265.79998779296875,46.756134033203125,76.7191390991211,29.044757843017578,80.30501556396484,354.2350158691406,4.1383256912231445,6.805480003356934,23.149999618530273,23.41119956970215,15.477415084838867,21.5,20.850000381469727,93.71895599365234,18.33769416809082,110.02965545654297,27.299999237060547,37.53303909301758,34.27073287963867,20.3430233001709,40.662479400634766,51.599998474121094,2.367479085922241,9.049176216125488,19.959999084472656,68.13333129882812,36.17890930175781,84.79410552978516,10.299810409545898,44.17613220214844,7.88324499130249,56.0935173034668,70.01152801513672,46.058162689208984,39.99784469604492,26.18134307861328,16.233671188354492,125.22000122070312,35.93691635131836,104.2512435913086,36.82728958129883,132.4174041748047,17.574602127075195,17.81612205505371,4.9202351570129395,100.0,51.48061752319336,22.475570678710938,28.54569435119629,9.050541877746582,47.938289642333984,81.06145477294922,7.719182014465332,5.9211530685424805,114.25238037109375,36.181190490722656,15.69478988647461,33.08184051513672,2.7584726810455322,2.4952657222747803,29.887117385864258,11.885114669799805,52.341697692871094,49.15777587890625,32.68009948730469,43.3105354309082,9.558504104614258,129.39276123046875,22.799999237060547,12.717151641845703,11.15999984741211,67.55000305175781,1.3264491558074951,3.959508180618286,38.77391815185547,24.398405075073242,36.170936584472656,36.13186264038086,39.67372512817383,2.039614200592041,24.700000762939453,4.868548393249512,3.5510783195495605,5.399872779846191,39.79751968383789,67.5999984741211,3.039497137069702,11.29624080657959,8.130000114440918,22.6335506439209,15.328590393066406,62.667999267578125,12.288310050964355,28.75,5.064422130584717,9.580201148986816,17.133235931396484,3.9736034870147705,9.240524291992188,15.587913513183594,7.110000133514404,84.79610443115234,9.491924285888672,19.091115951538086,9.337748527526855,22.47911834716797,15.841418266296387,177.0,10.530488014221191,30.850000381469727,2.263817071914673,29.18999481201172,12.220000267028809,4.181671619415283,22.724626541137695,2.1500000953674316,5.541271686553955,30.474889755249023,97.53170013427734,7.908435344696045,9.850000381469727,3.5199999809265137,12.631200790405273,15.560853958129883,6.183604717254639,8.130000114440918,1.0099999904632568,10.920000076293945,13.983023643493652,12.361652374267578,2.195122480392456,5.090000152587891,6.856659889221191,40.0,12.843592643737793,34.416160583496094,38.29999923706055,3.200000047683716,4.234732151031494,19.16261100769043,2.152520179748535,8.371800422668457,20.119186401367188,50.150001525878906,9.832927703857422,5.210230350494385,5.980427265167236,10.283352851867676,26.149999618530273,6.996158599853516,7.869719982147217,58.013492584228516,2.54707932472229,2.794829845428467,105.49381256103516,26.738805770874023,7.813202381134033,36.5,9.945886611938477,43.1619873046875,13.301831245422363,7.847752094268799,7.348733425140381,0.9116747379302979,21.922012329101562,9.600000381469727,36.5,6.514999866485596,7.494999885559082,58.20957946777344
2020-10-19,297.20001220703125,559.973388671875,5.299718856811523,259.0,46.709381103515625,76.52191162109375,29.767263412475586,81.02674865722656,360.1193542480469,4.288128852844238,6.927006244659424,22.200000762939453,23.807998657226562,15.340447425842285,21.350000381469727,20.399999618530273,94.38701629638672,18.43134880065918,110.31997680664062,27.649999618530273,37.9219856262207,34.222869873046875,20.43852996826172,40.51811599731445,51.650001525878906,2.385974884033203,8.983329772949219,20.600000381469727,66.73332977294922,35.6812629699707,84.79410552978516,10.44800853729248,44.463924407958984,7.952657222747803,53.64598083496094,70.25144958496094,45.90926742553711,40.583892822265625,26.405881881713867,15.956512451171875,127.60704040527344,35.98495864868164,103.85560607910156,37.174720764160156,133.50442504882812,17.764598846435547,17.757837295532227,4.892541885375977,99.1500015258789,48.39078140258789,23.452768325805664,28.310169219970703,8.784929275512695,47.83924102783203,86.74822998046875,9.198772430419922,6.018540382385254,106.39006805419922,36.37136459350586,14.86458683013916,34.69917678833008,2.7584726810455322,2.5601983070373535,30.467449188232422,11.96229076385498,51.822998046875,49.347206115722656,28.782470703125,44.40073013305664,9.558504104614258,128.19467163085938,22.350000381469727,12.150642395019531,11.300000190734863,64.8499984741211,1.3557090759277344,3.9976720809936523,38.07618713378906,25.394258499145508,36.170936584472656,33.49776840209961,39.822872161865234,2.0488851070404053,23.799999237060547,4.7918782234191895,3.629202365875244,5.342630386352539,38.90095520019531,67.1500015258789,3.094928741455078,11.240134239196777,8.239999771118164,22.586591720581055,15.175113677978516,61.62930679321289,12.043591499328613,28.200000762939453,5.139450550079346,9.33406925201416,17.0570068359375,4.0671000480651855,9.063163757324219,15.64688491821289,6.989999771118164,84.26371002197266,9.945760726928711,18.378910064697266,9.188741683959961,22.91048812866211,15.686110496520996,183.39999389648438,10.45175552368164,30.75,2.302025318145752,29.330331802368164,11.859999656677246,4.0828142166137695,20.133224487304688,2.0199999809265137,5.442497253417969,30.030363082885742,94.62155151367188,7.414158344268799,9.649999618530273,4.190000057220459,12.808549880981445,15.386664390563965,6.119950294494629,7.869999885559082,1.0199999809265137,10.199999809265137,13.086676597595215,12.419058799743652,2.223026990890503,5.139999866485596,6.866330623626709,38.0,13.658442497253418,33.43424987792969,37.349998474121094,3.0999999046325684,4.215910911560059,19.182405471801758,2.13258957862854,7.9322309494018555,19.20286750793457,46.45000076293945,9.706365585327148,5.050637722015381,5.9305901527404785,9.845357894897461,25.5,6.65464448928833,7.433566570281982,55.484703063964844,2.4328999519348145,2.8245620727539062,99.20610046386719,26.296436309814453,7.57353401184082,34.599998474121094,9.777144432067871,43.211830139160156,12.785640716552734,7.7698588371276855,7.3681745529174805,0.9116747379302979,19.779409408569336,9.90999984741211,33.5,6.449999809265137,7.565000057220459,58.97865295410156
2020-10-20,299.3999938964844,562.9652099609375,5.2435383796691895,260.79998779296875,46.709381103515625,76.8670425415039,29.670928955078125,81.31544494628906,359.9231872558594,4.250678062438965,6.786783695220947,22.200000762939453,24.552000045776367,14.968676567077637,23.399999618530273,20.450000762939453,93.71895599365234,18.2814998626709,110.31997680664062,27.899999618530273,37.970603942871094,33.98354721069336,20.3430233001709,40.469993591308594,52.0,2.3489830493927,8.917482376098633,20.549999237060547,67.19999694824219,35.5319709777832,88.567138671875,10.466532707214355,44.17613220214844,7.952657222747803,54.49512481689453,70.34742736816406,47.05079650878906,40.77924346923828,26.22624969482422,16.451440811157227,130.3919219970703,35.74474334716797,105.83380126953125,38.81258773803711,136.1725311279297,17.821598052978516,18.088125228881836,4.984853744506836,101.80000305175781,49.08848571777344,23.745927810668945,28.310169219970703,8.863628387451172,50.56300735473633,87.19718933105469,8.643926620483398,6.0574951171875,108.9776611328125,36.323822021484375,15.655257225036621,34.94422912597656,2.7218151092529297,2.5045418739318848,30.41908836364746,11.885114669799805,52.105926513671875,49.441925048828125,29.88180160522461,44.3016242980957,9.707855224609375,139.67626953125,22.450000762939453,12.85389518737793,11.34000015258789,64.0,1.3069425821304321,3.9404263496398926,40.568084716796875,25.344467163085938,36.41566467285156,33.696571350097656,41.0657844543457,2.0210721492767334,23.899999618530273,4.839797019958496,3.721529960632324,5.3903326988220215,40.09637451171875,68.3499984741211,3.076451539993286,11.165323257446289,8.25,22.6335506439209,15.597177505493164,63.75615692138672,11.9911527633667,28.799999237060547,5.167586326599121,9.362469673156738,16.923599243164062,3.9362049102783203,9.08089828491211,15.391345024108887,7.079999923706055,83.63451385498047,10.467188835144043,18.49761199951172,9.089404106140137,22.862558364868164,15.724939346313477,179.60000610351562,10.510805130004883,31.549999237060547,2.282921314239502,28.815763473510742,11.640000343322754,4.063042640686035,20.08338737487793,2.049999952316284,5.590659141540527,31.116985321044922,98.69575500488281,7.700838565826416,9.819999694824219,4.309999942779541,13.596768379211426,15.676980018615723,6.110856533050537,7.929999828338623,1.0299999713897705,10.420000076293945,13.465134620666504,12.399924278259277,2.223026990890503,5.159999847412109,7.030735969543457,39.849998474121094,13.580838203430176,33.92520523071289,37.400001525878906,3.4000000953674316,4.225321292877197,19.320980072021484,2.152520179748535,8.122045516967773,19.22278594970703,48.0,10.825955390930176,5.0412492752075195,6.020297050476074,9.673968315124512,25.700000762939453,6.986401081085205,7.594753742218018,55.43511962890625,2.503164052963257,2.834472894668579,102.30005645751953,27.03371810913086,7.621467590332031,36.099998474121094,9.777144432067871,44.25848388671875,12.825347900390625,8.091169357299805,7.251528263092041,0.9481416344642639,21.773221969604492,10.260000228881836,33.5,6.440000057220459,7.585000038146973,58.73831558227539
2020-10-21,300.20001220703125,564.9597778320312,5.299718856811523,269.0,48.53287124633789,76.62052154541016,29.911762237548828,81.41167449951172,364.23834228515625,4.297492027282715,6.870916843414307,22.399999618530273,24.552000045776367,14.596905708312988,26.100000381469727,20.450000762939453,93.24176788330078,18.33769416809082,111.09415435791016,27.899999618530273,37.72751235961914,33.552772521972656,20.43852996826172,40.27750778198242,52.150001525878906,2.3582310676574707,8.87985610961914,20.049999237060547,75.0,35.2333869934082,88.2692642211914,10.373908996582031,44.272064208984375,7.962573051452637,54.39522933959961,69.91555786132812,47.298954010009766,41.85366439819336,26.046619415283203,16.2138729095459,129.2978515625,35.74474334716797,106.22944641113281,40.00376892089844,142.2004852294922,17.55560302734375,18.10755157470703,5.538726806640625,102.9000015258789,47.64324188232422,23.794790267944336,27.27385902404785,8.814440727233887,53.53438949584961,90.53941345214844,8.410306930541992,6.115927696228027,107.6838607788086,36.03855895996094,15.655257225036621,35.23828887939453,2.7309794425964355,2.550922155380249,30.41908836364746,11.634292602539062,51.822998046875,49.15777587890625,29.482046127319336,43.36008834838867,9.83853816986084,139.2769317626953,21.850000381469727,12.697616577148438,11.220000267028809,66.19999694824219,1.2874360084533691,3.8545572757720947,42.4619255065918,25.64322280883789,35.92620849609375,31.95707130432129,40.0217399597168,2.0303432941436768,24.25,4.878132343292236,3.6220998764038086,5.294928550720215,38.85114669799805,66.5999984741211,3.076451539993286,11.12791919708252,8.199999809265137,22.6335506439209,15.7698392868042,64.69593811035156,12.06107234954834,28.299999237060547,5.233236312866211,9.154203414916992,17.190414428710938,4.020351886749268,8.974481582641602,15.66654109954834,7.110000133514404,82.47291564941406,10.505813598632812,18.655879974365234,8.990066528320312,23.00634765625,15.336668014526367,190.0,11.022567749023438,30.850000381469727,2.4930644035339355,28.8625431060791,11.699999809265137,3.983956813812256,19.35580062866211,2.049999952316284,5.788208961486816,31.462732315063477,99.52722930908203,7.4833574295043945,9.640000343322754,4.269999980926514,13.22236442565918,16.354379653930664,6.1290435791015625,8.399999618530273,1.0399999618530273,10.539999961853027,13.0269193649292,12.43819522857666,2.260232448577881,5.239999771118164,7.2628374099731445,40.04999923706055,13.580838203430176,33.23786163330078,36.54999923706055,3.4000000953674316,4.225321292877197,18.845874786376953,2.142554759979248,7.892270088195801,19.720787048339844,48.150001525878906,11.176435470581055,5.163290977478027,5.980427265167236,9.635882377624512,25.799999237060547,6.771735191345215,7.566308975219727,55.484703063964844,2.4328999519348145,2.893937349319458,107.19049835205078,27.7710018157959,7.477666854858398,36.04999923706055,10.303223609924316,43.85976028442383,12.587106704711914,7.838015556335449,7.134881973266602,0.9663751721382141,22.021207809448242,10.260000228881836,32.79999923706055,6.335000038146973,7.699999809265137,58.78638458251953
2020-10-22,300.0,561.9679565429688,5.421443939208984,269.0,47.22370147705078,77.16287994384766,30.104433059692383,81.2192153930664,362.8653259277344,4.409844875335693,6.683953762054443,22.350000381469727,24.552000045776367,14.92954158782959,25.950000762939453,20.649999618530273,93.28948974609375,18.46881103515625,111.57801818847656,29.350000381469727,37.67889404296875,32.88267135620117,20.53403663635254,40.13314437866211,54.79999923706055,2.404470920562744,9.199681282043457,20.600000381469727,74.4000015258789,35.332916259765625,89.31181335449219,10.373908996582031,44.224098205566406,7.912993431091309,54.14548110961914,69.3397216796875,46.85226821899414,42.9280891418457,26.450790405273438,16.134685516357422,127.70648956298828,35.74474334716797,105.43815612792969,39.358551025390625,139.33474731445312,17.707599639892578,18.243555068969727,4.901772975921631,102.5999984741211,48.440616607666016,23.697067260742188,27.13254165649414,8.6570405960083,52.79154586791992,90.98836517333984,8.235092163085938,6.184098720550537,105.39483642578125,36.133644104003906,15.358755111694336,34.60115432739258,2.7493081092834473,2.5787503719329834,30.225645065307617,11.460646629333496,51.021366119384766,48.6841926574707,29.581985473632812,42.963653564453125,9.614510536193848,145.3671875,22.049999237060547,12.287385940551758,11.739999771118164,67.55000305175781,1.2776826620101929,3.930885076522827,40.219215393066406,25.64322280883789,35.877262115478516,32.106170654296875,39.027408599853516,2.002530574798584,23.75,4.849380970001221,3.6931214332580566,5.342630386352539,38.90095520019531,65.05000305175781,3.1041674613952637,10.940895080566406,8.5600004196167,23.056167602539062,15.635546684265137,64.9926986694336,12.078551292419434,28.600000381469727,5.24261474609375,8.964872360229492,17.133235931396484,4.104498863220215,9.08089828491211,15.587913513183594,7.150000095367432,84.74771118164062,10.525125503540039,18.75479507446289,8.92052936553955,22.958417892456055,15.161946296691895,183.0,10.727319717407227,29.5,2.359337091445923,28.909320831298828,11.65999984741211,3.983956813812256,19.595008850097656,1.9299999475479126,5.847474098205566,30.623065948486328,99.44408416748047,7.394387245178223,9.600000381469727,4.070000171661377,13.005603790283203,16.41244125366211,6.174511432647705,7.849999904632568,1.0399999618530273,10.579999923706055,13.30578327178955,12.553009033203125,2.2416296005249023,5.269999980926514,7.2531657218933105,41.400001525878906,13.037604331970215,32.697811126708984,37.29999923706055,3.4000000953674316,4.262963771820068,18.80628204345703,2.1824162006378174,7.792367935180664,19.302465438842773,48.20000076293945,11.118022918701172,5.247781276702881,5.890720844268799,9.635882377624512,25.25,6.879068374633789,7.433566570281982,55.484703063964844,2.406550884246826,2.844383478164673,105.29420471191406,27.328632354736328,7.324278354644775,35.70000076293945,10.084850311279297,45.10577392578125,12.28930377960205,7.721175193786621,7.105720043182373,0.957258403301239,20.83087158203125,10.260000228881836,32.29999923706055,6.309999942779541,7.730000019073486,58.83445739746094
