L1,L2,L3,MF1,MF5,DIR
0.4091,0.9158,0.9045,0.8833,0.9198,U
-0.838,-0.3458,-0.0167,-0.3781,-0.9191,D
-0.8721,-0.1329,-0.447,-0.5488,-0.4664,D
-0.9263,-0.8646,-0.1676,-0.2753,-0.6041,D
0.4648,0.2052,0.6896,0.8045,0.9105,U
0.7167,0.3857,0.2654,0.6082,0.8914,U
0.1347,0.4232,0.833,0.8542,0.1367,U
0.0899,0.5164,0.8664,0.1342,0.5104,U
0.6197,0.9465,0.244,0.9675,0.0058,D
0.1735,0.2868,0.9444,0.1746,0.6664,U
-0.0289,-0.3852,-0.2251,-0.7948,-0.7495,D
0.3597,0.9102,0.7402,0.4374,0.4548,U
-0.5643,-0.9737,-0.9162,-0.8571,-0.8377,D
0.4338,0.6738,0.7641,0.4638,0.8812,D
-0.5699,0.4884,0.1762,0.5379,0.7087,U
0.4615,0.237,0.0731,-0.4192,-0.372,D
0.7457,0.5457,0.8264,0.8943,0.9528,U
0.6666,0.7018,0.0345,0.5777,0.2979,U
-0.0056,-0.5954,-0.0461,-0.5269,-0.3318,D
0.6708,0.6993,0.8157,0.1378,-0.3631,D
-0.1348,-0.5737,-0.567,-0.3204,-0.8566,D
-0.1769,-0.7063,-0.3728,0.6661,0.0763,U
