L1,L2,L3,MF1,MF5,DIR
-0.8529,0.4126,0.5837,0.5807,0.0235,U
0.427,0.7418,0.716,0.9972,0.5608,D
-0.6245,-0.6856,-0.0384,-0.5485,-0.9724,U
-0.5328,-0.5817,-0.8173,-0.8616,-0.3107,D
0.0534,0.5361,0.4268,0.4128,0.1254,U
0.4875,0.1095,0.5814,0.466,0.1592,D
0.6641,0.3319,0.2907,0.2028,0.471,U
0.2493,0.5273,0.3938,0.6111,0.7301,U
-0.5775,-0.5111,-0.5714,-0.7393,-0.0382,U
-0.3549,-0.7567,-0.1489,-0.2347,-0.8658,U
-0.7832,-0.7573,-0.1289,-0.4514,-0.2912,D
-0.2096,-0.6321,-0.271,-0.7133,-0.73,U
-0.2706,-0.5564,-0.7142,-0.1659,0.5624,U
-0.2487,0.2624,0.4619,0.8859,0.846,U
0.5079,0.7806,0.1518,0.5274,-0.7662,D
-0.5397,-0.6804,-0.2477,0.6316,0.6985,U
-0.5082,-0.6101,-0.7632,-0.3936,-0.2173,D
-0.1915,-0.2496,-0.0878,-0.795,-0.5384,D
0.2242,0.3206,0.7033,0.9128,0.1421,U
-0.3346,-0.0965,-0.4917,-0.544,0.9374,U
-0.0966,-0.94,-0.2468,-0.4057,-0.2589,D
-0.7612,-0.6989,-0.0197,0.5725,0.8668,U
-0.2578,-0.6578,-0.1856,-0.9183,0.1496,U
-0.9318,-0.7813,-0.3279,-0.9541,-0.5762,D
0.9656,0.9649,0.5962,0.8982,0.0643,U
0.6842,0.0945,0.7576,0.7581,-0.4653,D
-0.8154,-0.5151,-0.6974,-0.1751,-0.8293,D
0.4497,0.9766,0.6325,0.9052,0.2212,U
-0.3974,-0.3506,-0.2582,-0.6719,-0.3165,D
-0.2145,-0.8154,-0.1362,-0.0095,-0.8799,D
-0.2796,-0.5511,-0.2072,-0.4367,-0.0461,D
0.4842,0.2003,0.9156,0.4676,0.0668,D
-0.2019,-0.0129,-0.0331,-0.8654,-0.9462,D
0.004,0.7812,0.9922,0.8802,0.1356,U
0.3748,0.4973,0.3294,0.663,0.3501,D
-0.4787,-0.8357,-0.7119,-0.7583,-0.3069,D
0.8218,0.0488,0.6489,0.1664,0.2142,U
0.4399,0.08,0.5139,0.4674,0.0757,D
-0.0095,-0.3557,-0.9536,-0.612,-0.3387,U
-0.0459,-0.7882,-0.8656,-0.1999,-0.5046,D
0.2475,0.5819,0.306,0.978,0.9498,U
0.5125,0.8758,-0.5073,-0.5468,-0.4452,D
0.6584,0.8826,0.1142,0.4497,-0.585,D
-0.4446,-0.6558,-0.2132,-0.7168,-0.4343,D
0.7912,-0.1428,-0.4022,-0.8635,-0.5201,D
-0.0293,-0.9437,0.0073,0.4477,0.2942,U
-0.9524,-0.7447,-0.6849,0.3578,0.357,U
-0.3149,-0.9875,-0.7807,-0.5747,-0.4247,D
-0.3522,-0.3952,-0.3495,-0.9862,-0.5142,D
-0.2914,-0.3592,-0.0612,-0.1094,-0.1223,D
-0.9942,-0.9682,-0.9989,-0.4282,-0.4921,D
0.4383,0.337,0.7975,0.8287,0.7136,D
0.9991,0.2188,0.267,0.3137,0.5252,U
-0.9068,-0.9232,-0.5637,-0.1719,-0.8839,D
0.2329,0.4612,0.5893,0.6166,0.0305,D
-0.4039,-0.554,-0.5194,-0.1925,-0.7238,D
-0.1129,-0.332,-0.5022,0.5331,0.0848,U
0.1857,0.5843,0.6507,0.6865,0.263,U
-0.7348,-0.6816,-0.873,-0.8895,-0.2219,D
0.1033,0.7685,0.0357,0.8442,0.468,U
0.1514,0.1756,-0.5097,-0.6408,-0.4802,D
-0.8179,-0.9285,-0.8655,-0.6486,0.5366,U
-0.7448,-0.1064,-0.3746,-0.6647,-0.2623,D
0.1711,0.151,0.0373,0.4124,-0.9577,D
-0.7749,-0.9025,0.8319,0.3522,0.2755,U
-0.4503,-0.4533,-0.1166,0.7356,0.5129,U
-0.2769,-0.5406,-0.6678,-0.8334,-0.0273,D
-0.582,0.2175,0.204,0.116,0.5297,U
-0.4028,-0.9173,-0.9269,-0.0528,-0.1012,D
0.2348,0.7394,-0.253,-0.6987,-0.54,D
-0.8406,-0.9035,-0.0062,-0.4848,-0.3053,D
-0.3892,-0.7047,-0.8385,-0.1498,-0.0209,U
-0.8343,-0.2281,-0.5431,-0.9863,-0.8867,D
0.8854,0.1498,0.5104,0.8345,0.7236,U
-0.5448,-0.3193,-0.5052,-0.1198,-0.6619,D
0.8715,0.7741,0.4904,-0.1007,-0.731,D
-0.7049,-0.3261,-0.0522,-0.256,-0.5493,D
-0.8387,-0.5951,-0.6859,-0.4784,-0.971,U
0.0948,0.7851,0.651,0.1537,0.8502,D
-0.1336,-0.754,-0.6792,-0.9319,-0.5692,D
-0.1517,0.0759,0.4824,0.3246,0.9664,U
0.5375,0.8959,0.6188,0.3406,0.4198,D
0.8966,0.3789,0.5376,0.0948,0.303,D
-0.023,-0.8923,-0.6266,-0.1274,-0.3639,U
